# List of S-integral points (x,y) on the elliptic curve
# y^2 + x*y = x^3 - 5818216808130*x + 5401285759982786436, where
# S is the set of the first 12 primes.
# It contains 1040 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 191308 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(984313614/1225,47822810532342/42875)
(21279433674/15625,113794022722218/1953125)
(970321440/529,11534887849938/12167)
(-2567580486/961,40822225692510/29791)
(10436083776/7225,63705604789446/614125)
(35178504/121,2571883089210/1331)
(30467576640/17689,1644442643972262/2352637)
(7485356766/841,625845534321354/24389)
(267249576,4368623576286)
(221319732/2401,259510152651366/117649)
(13369863741/10000,110310310518489/1000000)
(25659299262/17689,274484348395536/2352637)
(34810845204/24025,421634281546482/3723875)
(3360356193/1024,152405102588127/32768)
(4496342784/361,296179880947254/6859)
(9934199976/7225,17493454957746/614125)
(-592831498/361,22260164392886/6859)
(810005976/361,13083733944942/6859)
(-101175360/289,13361388367038/4913)
(796558576/729,11608178657050/19683)
(863932014/625,-4330908462/15625)
(761281959/484,3992568346299/10648)
(-39151320567/18496,7220162051613129/2515456)
(-21236946/289,11861220984738/4913)
(638591079/484,1556536440963/10648)
(114551427/4,1221699317739/8)
(3153578403/4,177090671690727/8)
(241117367529/87616,82919650781216841/25934336)
(529589076/361,1037005937442/6859)
(-603589841/6084,1160255233796047/474552)
(-133085666/81,2365678350784/729)
(1792022976/25,75813554509734/125)
(-15044574/361,16294687318692/6859)
(114956001072/83521,600870551298546/24137569)
(-1157237934/625,48994082677164/15625)
(-82148418/289,13029090836352/4913)
(-246764922/529,34446045201198/12167)
(298122539/100,3813233963867/1000)
(3047404606/2601,58169265091088/132651)
(-933880416/841,79015869682890/24389)
(1832483739/1444,13571282627457/54872)
(24832790481/16384,531741106190247/2097152)
(3300007156/1521,102524868841322/59319)
(20066691060/14641,69080560590486/1771561)
(-3979727727/3136,575668603548933/175616)
(14029372029/10000,-30763959117/1000000)
(16614922932,2141636734628934)
(3514743219/2116,54969894888105/97336)
(931685232,28437751132914)
(1251787672/1089,17295175569866/35937)
(1249364166,44159751003096)
(324599775384/231361,194688889451850/111284641)
(9026909424/625,846268531619982/15625)
(3019098483/196,163944752382321/2744)
(85968141780/61009,386457554275482/15069223)
(11096920341/4624,720754677629535/314432)
(21809781876/14641,352050575912886/1771561)
(7690929360/841,652946882921946/24389)
(8318841012/169,757793811870798/2197)
(36143104890/1369,6842894078829828/50653)
(22482302088/14641,523706844533034/1771561)
(-76891643/144,4995484440547/1728)
(808490065/576,99371434739/13824)
(2620184880/121,133308150026874/1331)
(-2849331174/4225,824807276429154/274625)
(37935293241/25600,746920826584131/4096000)
(202871217/256,4647325570689/4096)
(347656233556/275625,38002727994428254/144703125)
(16611624349/11664,76204749560831/1259712)
(1405680951/676,26602740158613/17576)
(-94127983/256,11211275189969/4096)
(101359818264/961,32260046350227510/29791)
(31336966356/529,5542459277696730/12167)
(1223241402/961,7139608610844/29791)
(244089412704/330625,233406549594335742/190109375)
(18646721274,2546256348954210)
(1027018080/841,8338440548874/24389)
(-672923136/529,39888867603246/12167)
(2041917400/1521,5872199584486/59319)
(687029392/9,17997982749866/27)
(-5640049641/5476,1300795387529145/405224)
(3019775187/2116,6507636745989/97336)
(3398933638/81,197823407480722/729)
(-9512593/4,19256189149/8)
(3418038804/289,195936026213238/4913)
(4800450990/43681,19924043246899746/9129329)
(1569840537/64,61902672897111/512)
(3479088222/121,204490716438864/1331)
(1818386509/1296,132455646145/46656)
(217187839956/361,101214077435468994/6859)
(3927430009/2304,72978847971221/110592)
(8178544056/5929,7352033244018/456533)
(7260614886/361,614343968652792/6859)
(800432712/49,22408915166322/343)
(2990731170/289,159434802089052/4913)
(-184357736/81,1909259098874/729)
(-61585278/121,3818877947844/1331)
(5437616248/1521,326379083351602/59319)
(120498000150/83521,2416543089730914/24137569)
(3805252554/121,234041618018310/1331)
(3806535045/2704,3086623153407/140608)
(133202910/361,12467593806384/6859)
(-4028630909/4356,908874281030971/287496)
(35402863764/25921,207581193593430/4173281)
(-66618467394/60025,47642267852709594/14706125)
(6001800116/25921,8415212557881478/4173281)
(7677116229/5776,55472701671201/438976)
(-16419400674/7225,1612307951893146/614125)
(782099880/121,20522289919374/1331)
(27425294706/625,4534724500925196/15625)
(287182403733/226576,27005739637119153/107850176)
(-9519421560/28561,13045231605926766/4826809)
(21254546745/1024,3078294839256963/32768)
(3425938224/625,183649370994318/15625)
(1831915216/1521,22229187049822/59319)
(260874363/676,31503549966279/17576)
(24877324824/17689,42187029477606/2352637)
(5565901449/256,412745770317171/4096)
(144131621016/13225,53470710118715466/1520875)
(11885918118/8281,63623228043558/753571)
(158591891142/104329,8860183311971478/33698267)
(18187441528/12321,232980942228214/1367631)
(1995868347/1444,133550749401/54872)
(59298665/64,459390184537/512)
(25771957698/17689,305995701553788/2352637)
(102783251184/34225,24523986368445378/6331625)
(319584865044/231361,961799304657270/111284641)
(-3751019001/1444,94897791786927/54872)
(-543142977/196,1359894915051/2744)
(12773207151/16900,2631511845573909/2197000)
(28753614432/20449,50060220840066/2924207)
(245322910/9,3827512979248/27)
(-2144447052/961,80374599120954/29791)
(4443393711/2500,102579818998641/125000)
(18269940621/13456,104724678408873/1560896)
(421767896,8661490200266)
(9033052918/6561,12652815456514/531441)
(1870939584/1369,2424609305178/50653)
(18826216176/13225,89859299769354/1520875)
(20637165653/5776,2412553229497673/438976)
(-30003935919/10816,497417891394507/1124864)
(195605060529/135424,5164350943357887/49836032)
(-2106894760/841,50333698246486/24389)
(10260667533/5776,359335612694253/438976)
(305218001/256,1632066222911/4096)
(-235951602/121,4067249048448/1331)
(-1461615474/529,7558228825200/12167)
(-8011662710/6561,1737506806933076/531441)
(2027556591/196,88995588078879/2744)
(-16965465/3364,454683809563257/195112)
(5693245552/3969,20634580473058/250047)
(4220927233/576,260881057046347/13824)
(-4116228594/13225,4076076959134176/1520875)
(114155426950/6561,38212476808977496/531441)
(2866747444/2025,3788189804782/91125)
(1851677776/441,68660111020486/9261)
(-780390366/529,39945573332196/12167)
(-158654700906/130321,153776852508585576/47045881)
(-139912460871/160000,200587853217675333/64000000)
(4029047661/400,248956540220499/8000)
(-390876035/144,1890828156703/1728)
(7739816074/5625,10949388560518/421875)
(2682328224/3025,161177853967122/166375)
(91322580864/67081,1031180215070550/17373979)
(10142243094/7225,4903517628858/614125)
(229540706/25,3367504595164/125)
(-2777572620/1369,150772711022238/50653)
(81675889194/2401,23282996891200194/117649)
(-17736386642/6561,623735628120784/531441)
(1537830246/2401,163722651317112/117649)
(-5825921415/7744,2084337759370953/681472)
(12651336129/7744,344486853827211/681472)
(1117227029/784,1368794161937/21952)
(140356499754/67081,26828150499126444/17373979)
(48518300208/28561,3123251967333666/4826809)
(15192199488/841,1856416270621866/24389)
(897908010/841,15535136820564/24389)
(217634519892/152881,3534783732959034/59776471)
(67690844211/12100,16184836688561529/1331000)
(107567440864/77841,114669884712914/21717639)
(29511065574/21025,21722663119992/3048625)
(8822707887/3844,484546365449979/238328)
(60065336214/25,14720793470275128/125)
(205540875237/2704,93133578571203117/140608)
(13911731223/5476,1072888012622241/405224)
(-8184045927/4096,788862423528477/262144)
(59774660994/64009,14316268774871676/16194277)
(1233855156/289,37528953944838/4913)
(14933990969/10816,12742678717495/1124864)
(19407075069/8464,1578775700138919/778688)
(134962237719/96100,325664108520783/29791000)
(104223889086/67081,5804382321952374/17373979)
(21393730011/3364,2930036557266795/195112)
(2906467194/841,125675394899370/24389)
(1183827675/676,13403690429631/17576)
(2506000333044/1874161,282259747495092630/2565726409)
(365693241/4096,579234226654029/262144)
(168232680/361,11457440328894/6859)
(4732472901/4624,226278480449895/314432)
(14065406580/8281,487203740435586/753571)
(263841482646/190969,600716001309690/83453453)
(40295795230/29241,101271007365776/5000211)
(1704725692275/1214404,10572224259617877/1338273208)
(17986824372/169,2411571249980238/2197)
(842531284/81,23845456966310/729)
(20053922352/961,2821376699681934/29791)
(417077038920/303601,5264789047874646/167284151)
(59771346501/21904,10166705494502925/3241792)
(11710119066/8281,28562615560998/753571)
