# List of S-integral points (x,y) on the elliptic curve
# y^2 + y = x^3 - 6349808647*x + 193146346911036
# assuming that the Mordell-Weil rank is at most the analytic rank of this curve (as predicted by BSD), where
# S is the set of the first 7 primes.
# It contains 2316 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 1317329 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(3207657/4,5717539639/8)
(-1941111/25,1845949162/125)
(-885599/36,3950288405/216)
(5066209/100,1217985323/1000)
(3330990,6077665902)
(5089089/100,1341777563/1000)
(3346577/4,6095293939/8)
(3389766,6239296505)
(-2215439/25,967687434/125)
(3896769/49,4741882622/343)
(-2284244/25,405672904/125)
(-2291994/25,271297221/125)
(-2297836/25,66961587/125)
(2625781/81,3370017061/729)
(-69215/49,4876308606/343)
(4063761/49,5279904363/343)
(-93224/49,4913648909/343)
(5127191/121,540558234/1331)
(-234939/49,5127607563/343)
(3869729/25,6753429817/125)
(5982959/121,338081043/1331)
(6022756/121,846554925/1331)
(5000598/121,1523828146/1331)
(2179333/81,4712028389/729)
(-536814/49,5545537563/343)
(2135290/81,4839746093/729)
(-553223/49,5566734494/343)
(642921/64,5846048971/512)
(3401569/100,4063453997/1000)
(4547321/49,6886624779/343)
(4795827/121,2572560250/1331)
(5214028/81,5212753064/729)
(491081/64,6162641211/512)
(1811266/81,5755758146/729)
(4634512/121,3294633844/1331)
(-2396759/36,3868738489/216)
(5816921/100,4539564281/1000)
(4592328/121,3476039196/1331)
(6399297/121,3049787319/1331)
(6087049/144,889238267/1728)
(6030169/144,1420009795/1728)
(6501840/121,3545235097/1331)
(4585467,9817710174)
(4624801/4,9922770109/8)
(5242737/64,7640560521/512)
(6568332/121,3860862325/1331)
(4714699/9,10125019675/27)
(4806849/16,10200167999/64)
(4800916/9,10408018672/27)
(4813457/4,10537935603/8)
(4815369/4,10544232775/8)
(4873265/16,10421283593/64)
(-1752861/49,6637898450/343)
(4995118,11162557166)
(2515329/100,7024382267/1000)
(5173744/25,10998821847/125)
(7174417/169,658831601/2197)
(6008113/81,8319778082/729)
(7605217/144,3903382223/1728)
(7080557/169,1775230001/2197)
(7071167/169,1855794101/2197)
(3811758/121,6571427898/1331)
(7042786/169,2085870506/2197)
(-907999/64,8573186097/512)
(-2441731/49,6737366910/343)
(3663174/121,7125291531/1331)
(6273529/81,9391065922/729)
(-2626601/49,6681866295/343)
(5498431,12891777729)
(-2650329/49,6671846903/343)
(6041793/64,10678830625/512)
(8554893/169,2625230778/2197)
(6828201/169,3507070737/2197)
(8606335/169,2987483829/2197)
(6692921/169,4275966746/2197)
(8703938/169,3627539553/2197)
(5852653/9,14057194150/27)
(6627685/169,4629609434/2197)
(8765259/169,4009144853/2197)
(3206306/121,8777825350/1331)
(6593460/169,4811792699/2197)
(6696448/81,11133257932/729)
(8792852/169,4177199376/2197)
(-3328503/49,6049231838/343)
(-3358064/49,6004383813/343)
(-3415478/49,5912042963/343)
(6372410/49,13577140326/343)
(6145154,15232206578)
(8994210/169,5358408554/2197)
(-3747659/49,5217681099/343)
(-2230367/64,9876553713/512)
(-3898726/49,4785617670/343)
(2625709/121,10778095543/1331)
(6493163,16544433633)
(6089353/169,7330004625/2197)
(9202488/169,6531912375/2197)
(-920753/81,11841657625/729)
(2490251/121,11229466074/1331)
(2426161/121,11441035255/1331)
(7797665/196,5129400163/2744)
(6721378/9,17330174198/27)
(9335310/169,7267151094/2197)
(-4494927/49,659906750/343)
(-4500312/49,436787532/343)
(6758326,17568255990)
(8725585/144,9600364871/1728)
(9446226/169,7876568666/2197)
(9459986/169,7951961681/2197)
(8324999/121,12049269363/1331)
(7051784/25,18047179423/125)
(7431985/64,16365703639/512)
(7056340,18743110832)
(1914694/121,13083786946/1331)
(7366976/49,17613357173/343)
(7190716/25,18608778264/125)
(5480060/169,10149181784/2197)
(-3518999/64,9928753141/512)
(7560183,20786168033)
(7637289/25,20449389337/125)
(-2294960/81,13644384668/729)
(8987014/225,6078605338/3375)
(5087814/169,11885823438/2197)
(5081821/169,11911961082/2197)
(7846024/25,21327960607/125)
(4922789/169,12601466513/2197)
(10829201/256,1985059769/4096)
(10784313/256,2625510893/4096)
(9187509/121,16234251318/1331)
(9330201/121,16940582295/1331)
(8112432,23104987100)
(10386528/169,13004245500/2197)
(-3020378/81,14174772625/729)
(10524601/256,5149777619/4096)
(-5245407/64,6537224625/512)
(8806233/64,22461378525/512)
(8484074,24710844261)
(9080776/81,21751691156/729)
(9129151/81,21980710990/729)
(4105396/169,16029102896/2197)
(13076481/256,5899299839/4096)
(-5658815/64,4074751519/512)
(3995861/169,16474377681/2197)
(12295985/289,216285586/4913)
(8047114/225,11590474987/3375)
(12275817/289,1268873458/4913)
(-67535/121,18666782422/1331)
(8861871,26379747710)
(14275385/289,611720221/4913)
(14377357/289,3013649554/4913)
(11871992/289,6257095083/4913)
(14520423/289,4776263550/4913)
(12747901/225,13182474851/3375)
(9532816/25,28835331511/125)
(14652699/289,6090476497/4913)
(-5134811/81,13460380354/729)
(11674436/289,7859564719/4913)
