2: 1 + 1 = 2 (1.000): 1 + 1 = 2^1
2,3: 1 + 8 = 9 (1.226): 1 + 2^3 = 3^2
2,3,7,17,23: 6561 + 78608 = 85169 (1.170): 3^8 + 2^4 17^3 = 7^1 23^3
2,3,5,19,29: 20736 + 24389 = 45125 (1.103): 2^8 3^4 + 29^3 = 5^3 19^2
2,3,7,19,23: 5103 + 130321 = 135424 (1.204): 3^6 7^1 + 19^4 = 2^8 23^2
2,3,7,19,23: 49 + 531392 = 531441 (1.343): 7^2 + 2^6 19^2 23^1 = 3^12
2,3,5,23,29: 71875 + 190269 = 262144 (1.260): 5^5 23^1 + 3^8 29^1 = 2^18
2,3,7,17,29: 14297 + 16807 = 31104 (1.041): 17^1 29^2 + 7^5 = 2^7 3^5
2,3,7,17,29: 3 + 69629 = 69632 (1.122): 3^1 + 7^4 29^1 = 2^12 17^1
2,3,7,19,29: 8379 + 24389 = 32768 (1.035): 3^2 7^2 19^1 + 29^3 = 2^15
2,3,11,13,29: 64 + 190269 = 190333 (1.201): 2^6 + 3^8 29^1 = 11^4 13^1
2,3,13,17,19: 4913 + 41743 = 46656 (1.061): 17^3 + 13^3 19^1 = 2^6 3^6
2,3,11,17,23: 23 + 34969 = 34992 (1.030): 23^1 + 11^2 17^2 = 2^4 3^7
2,5,7,13,29: 5 + 107648 = 107653 (1.138): 5^1 + 2^7 29^2 = 7^2 13^3
2,3,5,7,11,13: 351 + 30625 = 30976 (1.003): 3^3 13^1 + 5^4 7^2 = 2^8 11^2
2,3,5,7,11,13: 15625 + 17303 = 32928 (1.009): 5^6 + 11^3 13^1 = 2^5 3^1 7^3
2,3,5,7,11,13: 847 + 40625 = 41472 (1.031): 7^1 11^2 + 5^5 13^1 = 2^9 3^4
2,3,5,7,11,13: 10985 + 41503 = 52488 (1.054): 5^1 13^3 + 7^3 11^2 = 2^3 3^8
2,3,5,7,11,13: 2197 + 50625 = 52822 (1.055): 13^3 + 3^4 5^4 = 2^1 7^4 11^1
2,3,5,7,11,13: 10000 + 49049 = 59049 (1.066): 2^4 5^4 + 7^3 11^1 13^1 = 3^10
2,3,5,7,11,13: 121 + 59904 = 60025 (1.067): 11^2 + 2^9 3^2 13^1 = 5^2 7^4
2,3,5,7,11,13: 14641 + 46875 = 61516 (1.070): 11^4 + 3^1 5^6 = 2^2 7^1 13^3
2,3,5,7,11,13: 20449 + 97200 = 117649 (1.132): 11^2 13^2 + 2^4 3^5 5^2 = 7^6
2,3,5,7,11,13: 1 + 123200 = 123201 (1.137): 1 + 2^6 5^2 7^1 11^1 = 3^6 13^2
2,3,5,7,11,13: 13 + 151250 = 151263 (1.157): 13^1 + 2^1 5^4 11^2 = 3^2 7^5
2,3,5,7,11,13: 2197 + 583443 = 585640 (1.288): 13^3 + 3^5 7^4 = 2^3 5^1 11^4
2,3,5,7,11,13: 91 + 1771470 = 1771561 (1.395): 7^1 13^1 + 2^1 3^11 5^1 = 11^6
