# List of S-integral points (x,y) on the Mordell curve
# y^2 = x^3 + 1632201497, of rank 8, where
# S is the set of the first 40 primes.
# It contains 1476 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 1208750 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(34,40401)
(14296684/16641,102194933221/2146689)
(-34371788/29929,56122865769/5177717)
(9579694/18225,103728375503/2460375)
(18227857/5184,79269673159/373248)
(28103764/12321,158902019819/1367631)
(-33252764/34969,181729838127/6539203)
(69928228/361,584761583703/6859)
(59145724/14161,459934364259/1685159)
(10274681/12544,65622898867/1404928)
(4349227/24649,156608543394/3869893)
(-6267719/14400,68025764179/1728000)
(27676379/121,145600857734/1331)
(11941718/22801,145089339727/3442951)
(27048956/17689,169777308497/2352637)
(18092482/41209,346618548291/8365427)
(-11367896/42025,345938651817/8615125)
(-14455933/14641,45843574990/1771561)
(-23910674/23409,85247654383/3581577)
(78706774/5041,698411316831/357911)
(-7596128/25281,161041955365/4019679)
(21632201/10000,108420642949/1000000)
(-15947089/15625,46592445784/1953125)
(24399224/22801,184047195811/3442951)
(45747343/11881,313812510672/1295029)
(40146728/12769,260969434645/1442897)
(-14685269/29929,201470356182/5177717)
(65423416/29929,569020316727/5177717)
(56420179/2401,423817614606/117649)
(71419546/26569,628415389947/4330747)
(31732577/3364,178928641201/195112)
(-15112103/17424,71992146851/2299968)
(92962948/3721,896370507303/226981)
(56730554,427292762719)
(50842412/10201,364907866865/1030301)
(35840131/27889,285381915522/4657463)
(12196763/19321,116562159158/2685619)
(-7868137/20449,116059621640/2924207)
(55712431/15625,423262063704/1953125)
(106946548/3481,1106018466513/205379)
(96275686/18769,950353596273/2571353)
(-10305473/21609,123995686564/3176523)
(33755842/29241,281552495075/5000211)
(60304186/7569,469051870823/658503)
(41461163/361,266969995402/6859)
(75380023,654461944608)
(53080934/19321,401662055461/2685619)
(45000131/625,301871155154/15625)
(78494713/4624,695557520115/314432)
(-70548476/67081,376247904999/17373979)
(127888678/10201,1446864773643/1030301)
(133082302/3721,1535282161395/226981)
(-50930543/43264,8160474681/8998912)
(27541802/41209,367578454739/8365427)
(-34487734/42025,283059660811/8615125)
(-35414452/43681,302686374037/9129329)
(-19732777/28561,174194063068/4826809)
(52642291/3969,382079751362/250047)
(41640164/42025,439707436087/8615125)
(34803299/22801,248000304514/3442951)
(35435116/45369,443753675263/9663597)
(92180264/1681,885032197789/68921)
(87159094/70225,1107873254703/18609625)
(148865314/24025,1822531413363/3723875)
(40814254/87025,1069450760367/25672375)
(47096713/17424,336302456795/2299968)
(49962014/46225,534724210463/9938375)
(77417036/30625,714753543659/5359375)
(-109492694/93025,35526922671/28372625)
(-43268906/101761,1280214881529/32461759)
(110150816/2209,1156070812747/103823)
(10796362/104329,1361889391419/33698267)
(-4887418/61009,608708460209/15069223)
