/** 
 * List of all reduced triples (y, x, a) of rational integers satisfying the 
 * Mordell equation    y^2 = x^3 + a    with c(a)<=185 and y>=0.
 * Here, c(a) is the multiplicative function that sends a prime power p^k to p^(min(2,k)).
 * This list contains 557 triples in total.
 * We do not list the only reduced solution for a=0, 1^2 = -1^3 + 0, since c(0) is not defined. 
 *
 * Format: "c(a): y^2 = x^3 + a" (without danger we omit the paranthesis around negative x). 
 * Authors: Rafael von Känel and Benjamin Matschke, 2014
 * License: Creative commons 3.0 by-nc.
100: 28^2 = -6^3 + 1000
100: 30^2 = 10^3 + -100
100: 44^2 = -4^3 + 2000
100: 47^2 = -31^3 + 32000
100: 55^2 = -15^3 + 6400
100: 75^2 = 25^3 + -10000
100: 88^2 = 14^3 + 5000
100: 90^2 = 20^3 + 100
100: 100^2 = 20^3 + 2000
100: 118^2 = 24^3 + 100
100: 198^2 = 34^3 + -100
100: 261^2 = 41^3 + -800
100: 350^2 = 50^3 + -2500
100: 383^2 = 129^3 + -2000000
100: 411^2 = 41^3 + 100000
100: 415^2 = 65^3 + -102400
100: 525^2 = 65^3 + 1000
100: 536^2 = 66^3 + -200
100: 1075^2 = 105^3 + -2000
100: 2515^2 = 185^3 + -6400
100: 3972^2 = 244^3 + 1250000
100: 8725^2 = 425^3 + -640000
100: 17771^2 = 681^3 + -12800
100: 24743^2 = 849^3 + 256000
100: 137190^2 = 2660^3 + 100
101: 10^2 = -1^3 + 101
101: 926^2 = 95^3 + 101
105: 13^2 = 4^3 + 105
106: 35^2 = 11^3 + -106
106: 59^2 = 15^3 + 106
107: 48^2 = 13^3 + 107
107: 1710^2 = 143^3 + -107
109: 4^2 = 5^3 + -109
109: 1746^2 = 145^3 + -109
113: 7^2 = -4^3 + 113
113: 11^2 = 2^3 + 113
113: 25^2 = 8^3 + 113
113: 38^2 = 11^3 + 113
113: 133^2 = 26^3 + 113
113: 8669^2 = 422^3 + 113
116: 3^2 = 5^3 + -116
116: 4^2 = -6^3 + 232
116: 10^2 = 6^3 + -116
