# List of S-integral points (x,y) on the Mordell curve
# y^2 = x^3 + 66265, of rank 5, where
# S is the set of the first 140 primes.
# It contains 441 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 467696 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(-6,257)
(-104514859116/56186539369,3428225922699687433/13318288732409653)
(-972824332254/58932903121,3555614199871874551/14306610494557081)
(754360162011/40547863225,2201566089193260134/8164920478302125)
(-1487537750294/76748391225,5163815488486440979/21261990563017875)
(-1744532793996/77220073225,5020257965205008633/21458300048129125)
(3107301377536/66528400761,7036629847715604511/17159736936685491)
(4463033079651/7356321361,9429954242882441054/630944326811609)
(1778009889601/76779976464,5967782196764064031/21275117238362688)
(-2194648463124/148837782025,14419278572184296249/57420872116334875)
(8467484131254/47609058025,24784166001206746867/10388058415764875)
(-5961846380054/148108752801,1840025182469511151/56999505406712049)
(3648854447779/100265322609,10741284991420916518/31748713608172023)
(791380009306/193542804225,21929642577515579329/85146253576725375)
(-3367196828991/144445603600,12709502994030175777/54897996104216000)
(2960091755736/247646564881,32130376243016332739/123239084193945721)
(-2956552288196/292011625161,40300853244160179673/157797534016126341)
(3114764791849/187657041636,21636140718657203083/81291904494465384)
(-8228108099681/219408864921,11952399508049252368/102773525826510531)
(19672977276324/202807016281,90369850960340206033/91332314519001821)
(16005075750441/4953907456,64030519826572928981/348675822383104)
(18808989917404/231521681889,86467123833953630507/111400593109484463)
(1833321317364/417412905625,69465373721893778737/269680043001671875)
(26558600946786/16077986401,136870855788168212161/2038672597660399)
(30525804100704/17767557025,168656664306728581483/2368326513647375)
(-11096345040639/308267027524,23977027176229880671/171155402487820232)
(-492782340641/375922265625,59331017144783293352/230487339111328125)
(45904302494044/399410096121,317729444069119886207/252422787237414669)
(48509423492706/392325596881,343732671208785212041/245736668536786279)
(-28067519897826/887049399889,155372139020459475553/835452397445656537)
(6062664089529/641386349956,133067430449234524877/513664520543861896)
(65801949602124/279952101025,535135065991025431307/148124056412832625)
(18486408586329/694988995600,169002785441323727267/579384526071896000)
(60996910852134/615846688081,492365779756998032687/483291231091757479)
(-16339282319921/914328002025,215149083136807305392/874285007176315125)
(-28201138814439/896335562500,159031559861783998691/848605693796875000)
(41843094276399/845522547529,336624470395222345528/777477429471508667)
(-9274997499479/1156248584100,318801866190539782069/1243302539996889000)
(113034255248946/219738750169,1202045212416610367411/103005395745470947)
(60906666933054/1730000937025,754349183598208109783/2275461582464297375)
(178850192871396/268407922561,2392118829533155375301/139057044928325441)
(69177960874371/1386645198481,712554892746472456474/1632856533278087879)
(135417543132106/2044491040449,1746300685482569706751/2923329825623285793)
(258774791247664/332007592401,4163066394431425079203/191303106749048601)
(73789246573404/4412188471441,2468507410771238652323/9267894540219720761)
(301334359109974/58155734025,5230859855881482045757/14024546038798875)
(243315328401951/496566855625,3796439472530045338324/349918248987546875)
(215302062978321/2211615122500,3270649321789084262119/3289003429425875000)
(-84164446987911/4627050519364,2442997487501040004627/9953054036082087112)
(128257831199356/7346728935225,5327877052540884766879/19913198577993334125)
(398515892051574/3451543455889,8124961711417941627247/6412391333284628537)
(358963222510569/3320294884,6801033796435835474837/191322031805848)
(226410098127049/5112681743376,4523492375730187737733/11560407394309314624)
(317545472078281/6299879121936,6970519971857010448891/15812419401377994816)
(531421779729271/528492650625,12251046166364819538944/384200944688109375)
(199193190072399/9510581069929,8056523837891946493472/29329899704918651467)
(870784404754554/6637996697761,26070435504636490258673/17102340470009070991)
(926724155817324/13515894901609,30975803105218930702903/49689795468590622773)
(799778413720434/19210680234001,31326890110045109415113/84200392254946148999)
(-200689874140254/30049506318049,42307729808631124422911/164723670912420879407)
(-327779413059869/21780450304209,25484486658127796001826/101648337888579105177)
(2205852145400476/2564722175625,103606550427891239265401/4107338446209046875)
(1468781134298841/3510616784896,56316028392799999445731/6577716287655378944)
(2108722434310146/16482747411025,98354540690846029581431/66918223800283342375)
(533622622227441/25877019606916,36057948005089466015081/131635001381322918536)
(2465483890739616/30151157874049,129626590734297176399141/165560218944508177343)
(271450298530134/58731424031449,115950118847703345190283/450096666658645908707)
(2370151786636129/16800292601856,116742586646533382742673/68861308121169002496)
(-615641710453664/69849895640625,149498010237614831477459/583779234053478515625)
(5365865149701934/4101074562321,393066521354852022284513/8305131207976442631)
(5501591541009054/4504883145841,408075400167908635663727/9561483835436293111)
(1683290505300969/49529080536100,113229100742907373058453/348570314798105609000)
(-2969865660529626/86468332357225,129019660003358762819693/804054755314996332875)
(3557558977474249/9606664689444,212329977189306372151003/29775492151673479128)
(793402830792226/113647859330625,312677131658945201031151/1211551527983577609375)
(6037888138694934/109707252619129,554629804201687453415717/1149087257924829298867)
(13814079078956104/720306966681,1623614453394681291258223/611331005384864829)
(10728067586502369/49408303042816,1114765091545198557603793/347296100551470116864)
(18097001295917856/104334110361649,2449908995909597851795501/1065711067216800077143)
(14608687415843931/45191455006681,1767430489037397738369566/303797703432757748579)
(20319355029071824/241978651369569,3054221546777093353651147/3764138353899503819247)
(17390629461773619/1194559375681,2293363822684302868056782/1305604420684930079)
(31274830498855956/532375988881,5530857216953976599896291/388443348903121721)
(20200705962719329/220878687312144,2992883257322661702218257/3282696400288836382272)
(2697726812240734/684435854975625,4611495609799852694985773/17906022618012182953125)
(25374470926134654/538567494601249,5166162436787545164748807/12498566545558377814193)
(22206760002209859/239578606718929,3444165569025856580716058/3708276016999980151783)
(46566794120302734/225244210801,10048807114853666936141263/106900677201943799)
(-18946020669091526/848996528627025,5809503328011954151455257/24737674557713729153625)
(10413991136729076/1378085574630625,13211920107008354375713301/51158085100643473859375)
(-66458717428923854/1683253212545961,4743502002363518151016699/69059618996879826002709)
(162143380574967066/2509277090509225,72868282396734586351872011/125696426872595097519125)
(155127476206289199/35848443845449,61098882630963868701424328/214637431197155988293)
(168127048778785039/830050960466025,69211950243600858692202712/23914270351857262195125)
(-48449294837506349/2955039280634529,39952298662514688835188494/160636742021016609666417)
(491134961217501724/1225726777765161,344369622932346200811033833/42913161491460615136341)
(562279470356115276/177438357718801,421627367472567592397232029/2363585210390702881799)
(-31663898749617054/13858896618154225,419948465095728851053837369/1631522181579713625368375)
(446820952634226756/24272901825212161,1018263349849428050673655291/3781660601863630756190591)
(757523071457583201/11003050815303184,723166696886330219890971119/1154169724576976435442752)
(2310429624984782706/25568992115231041,3666193826845606293115401359/4088560361600229330426911)
(1567542087885047769/19827307404918784,2090036358118784423251962013/2791872686868304177922048)
(5358160389998486809/775809106222500,12402910447740879000475873123/21608882568802470375000)
(2669471129070417739/117271047066446025,11220207289990705379765073862/40159306474793783569045125)
(-9196733566140729444/308845852793170225,34267691240316101512011409421/171637690018111419568828375)
(151753331199908719/209256730384299129,24641236887144811945520560388/95723628548798262095741133)
(10402356278504184049/107729718044867136,34763176011139076706981920567/35359269548986591624751616)
(-983317838954763119/254797336232211600,33093750914523729008627542471/128615208189839943572664000)
(32828631623152184616/38130930202616329,188105597026590172941841233191/7445881153502289697331483)
(16782076037271353691/316737260902164025,82656516566935711236445542886/178257879106447940121273875)
(-31539676907010353934/945256122430894561,156821409355284888919754205281/919018488492295529849142191)
(91913978121540510106/22405050483149889,881196073212244189604632034849/3353658913112755521218463)
(161174416597883206846/1109125194212716641,2068156382585160884511610234151/1168075341362272583909596689)
(-609256770740249705984/15071054125734840249,827817039438951331374653005759/58508025813528029432760123693)
(-179698975570638230951/11667462640699299984,9972217181286247530140879983453/39853331201652043729007331648)
(14367459081646354573761/641718365730624490000,4525158032745500099344561974095009/16256112764829552492035543000000)
(247821863106076402351519/188516226052250781129,123371759958328926901115754961422212/2588350617348251351672532687867)
(-321266853737240263782561/9493173314154559830025,153404181414699116480976780933859012/924947567537170286519587133774875)
(-240226948634417797734153081/6276452890734583895302561,1587769948607646261313805956818055744468/15724303229643976204116904076945004559)
(-277333091857745002579739554544/8611727825384738152199141481,144880020119249428211507457440737622525087209/799163137344403496475106084094501407581621)
