# Lists of S-integral points (x,y) on the Mordell curves
# y^2 = x^3 + a, with the following constraints:
# we consider only curves of rank r = 2,
# a is bounded by |a| <= 10000,
# S is the set of the first 300 primes.
# It contains 3426 curves in total.
# It contains 37852 points in total.
# For each point P, only one of +P, -P is listed.
# Format of the points: "(P(x),P(y))".
# Computing this list took 559268 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
# a = -9989:
#
(357646/3249,213094565/185193)
(792840/17161,669813421/2248091)
(815657344/2499561,23291643379645/3951805941)
(7617537177/345365056,191606259537347/6418264200704)
(36366060544877715/228320553241,6934966797716501573307766/109098181634593789)
(6869533622130795705/9659218647192976,18004660666305857817254651219/949320797451614564780224)
#
# a = -9829:
#
(193/9,154/27)
(75602293/56169,657357430436/13312053)
(108648145/4901796,353389654009/10852576344)
(12450774505/853776,1389295250089739/788889024)
(2086029361441/91463904900,1247673989843974511/27661428758907000)
(49953735790669/17988442641,353062717056293098960/2412627915453561)
#
# a = -9823:
#
(353/16,1937/64)
(4051/9,257822/27)
(62723/2809,5389130/148877)
(38735651/1352569,183887010862/1573037747)
(129151065473/240126016,46412320234298303/3720992743936)
(990752712371/15976009,986161185253875562/63856107973)
#
# a = -9817:
#
(1169/4,39961/8)
(1873364716097/25550104336,2531960507027189089/4084030877483584)
(1060186606665323020355089/121158738027369000000,1091624984611532834457087771542472313/1333620036278450412597000000000)
#
# a = -9810:
#
(1099,36433)
(356476626739/10958949225,179966675274540013/1147237599619125)
(5021728783441586041/110130364022538304,10655194182141734820328273741/36547747187898065945297408)
(525641972060604750039104761/24467639779531309370896656,1240330159093358249627560340553764602739/121028629948117069400442068041334522304)
#
# a = -9804:
#
(853/9,24769/27)
(12829/81,1451285/729)
(66145/36,17011601/216)
(1890216385/59721984,68302453441697/461531492352)
(248761450573/3935429289,121640302394547821/246881285586837)
(578186776465/22086120996,296081145371901241/3282306785699544)
(19142276040624814465/41672817875980944,83746833596100595676041252417/8507056203022263635176128)
(44345406074954387444057125603763291905/1114466006140310805373887474485044224,271357992637342021032120021491276857821890712746603812223/1176522505149807902810825501873268356061948494199226368)
#
# a = -9790:
#
(1079,35443)
(7106951/44521,18923511869/9393931)
(1252254281/2972176,44310878653499/5124031424)
(47035577161/563682564,10114619428345211/13382951434488)
(1355541613361/5024824996,1577832768773660521/356189744666456)
#
# a = -9787:
#
(3929/100,225533/1000)
(14687/289,1712270/4913)
(204667/8649,47340440/804357)
(545927218835681/20346053635600,8959650309030824140079/91774130291955496000)
(74286523519406249/3389240047152400,5377874418831413536110443/197311997888279758232000)
#
# a = -9770:
#
(5571/25,415631/125)
#
# a = -9767:
#
(66,527)
(216,3173)
(2938/9,159227/27)
(18231/625,1917004/15625)
(6032928/277729,3216415883/146363183)
(44956257/1373584,256022452975/1609840448)
(548414928/10067929,12448827047183/31945538717)
(1531984407/247009,59962745354800/122763473)
(1601850961287127/37805195879649,59853964919867779607000/232448762749238683857)
(458247081584673321/9187260840040000,297747521436725472819544619/880600788970002008000000)
#
# a = -9766:
#
(23,49)
(2076785/9604,2991420599/941192)
#
# a = -9762:
#
(289/4,4849/8)
(661363/1369,537825067/50653)
(39884659/208849,251712197971/95443993)
(932249107/24235929,25908259669435/119313478467)
(8420221057/376204816,277891942619329/7296868611136)
(211740249000979/7185482330625,2423117266158716142067/19261224298415109375)
(2415097247363771276115937/1744018832055035474064,3753195060934999687447901029655574865/72832757883905159937343527688512)
#
# a = -9751:
#
(35,182)
(329/4,5915/8)
(263,4264)
(15967/729,541268/19683)
(86345/2704,21235781/140608)
(292873/12996,60974459/1481544)
(220067995/522729,3264426926306/377933067)
(92537897/465124,889632000907/317214568)
(272625521/11424400,2392343405431/38614472000)
(4804866665/72726784,327380287303861/620214013952)
(37564734431/535505881,7177083745105820/12392141592221)
(16455305539/1404225,2110857542242462/1664006625)
(36232102715/631969321,6715884254726842/15887076760619)
(11174490528206425/17434766846016,1181227516854226374375773/72798799226472423936)
(413433577028699087/10238379333505129,245360975542917321781929508/1035969153540058456734133)
#
# a = -9746:
#
(89/4,285/8)
(12995,1481373)
(55203/2401,5772941/117649)
(2708667/124609,1008001927/43986977)
(56316441/144400,422587963261/54872000)
(14376022835/50737129,1723316621691891/361400569867)
(4282612142496895387/129935662900014609,7560833492485192595537086937/46837375279543387346289273)
#
# a = -9728:
#
(24,64)
(104,1056)
(68,552)
(644/25,10728/125)
(3752/121,188640/1331)
(537/4,12419/8)
(16408/9,2101760/27)
(3393/121,147743/1331)
(11577/529,333971/12167)
(870824/121,812635104/1331)
(2211096/26569,3259980928/4330747)
(2266052/2809,3411149736/148877)
(11026072/194481,35622031040/85766121)
(35156376/139129,208389190528/51895117)
(167623172/935089,2168373305496/904231063)
(751709864/15594601,19694511302304/61583079349)
(1920615272/84474481,34937242639200/776404954871)
(414544249/4995225,8368132340557/11164327875)
(2674413188/117700801,57153838136088/1276935990049)
(23507506436/595116025,3307561477617816/14517855429875)
(53518325864/2496900961,1361011687283424/124767644120209)
(19408209121/467208225,2513674143856081/10098705783375)
(351935537348/47623801,208782781368168792/328651850701)
(85831335393/2467704976,22048488598468177/122585712387776)
(17695719240409/38824761600,74435484172263398173/7650031025664000)
(21844043112109316/57089735850625,3228210342328716411884136/431357198896756109375)
(151338882857801313/236011506627556,58873217852045192200034543/3625765948475929224296)
(5305046645346475582532/110282247374689617529,369127068806671167236702956152024/1158132933288593130344354576333)
#
# a = -9723:
#
(11839/225,1244438/3375)
(981163/15129,954399160/1860867)
(2496433/116964,10055305/40001688)
(2920740256837363/44774526156129,155058927825252481936100/299603234507019999633)
(349558333296450901418359489/47304526526091104400,6535510096636748941311159484339466103263/325352426396698574569727928000)
#
# a = -9720:
#
(34,172)
(46,296)
(241/9,2629/27)
(1441,54701)
(248761/7396,107058131/636056)
(503401/21904,159432011/3241792)
(5620606/4225,13325202496/274625)
(10355794/29929,33321469652/5177717)
(53429566/1979649,277697749904/2785366143)
(130930834/1946025,1474075735948/2714704875)
(17034979201/248819076,2189442050919359/3924872104824)
(6334663906114/7306209,15943562429249735108/19748682927)
(546195333198721/12038297640625,12082574529431264774269/41768378451353515625)
(11655195437135544213601/339075341936498155024,1097432029236609184110585673325039/6243732848656075063832644424768)
(146988276395563232054641/968234819209416492561,56275573879823550733305276494119451/30128051477723185980721177549191)
(720158464296559563436943641/8307694362237774971510404,19181273608918194148289388105925792229629/23945326651752884919582856413734438792)
#
# a = -9715:
#
(5969/256,222887/4096)
(81671/2401,20255614/117649)
