# List of all S-integral points on all rational elliptic curves (using Cremona's database) up to conductor 100,
# where S is the set of the first 10000 primes.
# It contains 1724 points in total.
# Format: "(x,y)".
# Computing this list took 121892 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
# a-invariants: (0, -1, 1, -10, -20)
# Cremona label: 11a1
#
(-50443970239/68162766400,2249272978173441/17795935051712000)
(-50443970239/68162766400,-20045208029885441/17795935051712000)
(791991662680/385083543601,748041672403721449/238963978065144151)
(791991662680/385083543601,-987005650468865600/238963978065144151)
(8985658531079/9202249657441,-54741723389451832280/27915217583090079761)
(8985658531079/9202249657441,26826505806361752519/27915217583090079761)
(-211327567932999/209674135856641,-24519007717765931978/3036108535167687186689)
(-211327567932999/209674135856641,-3011589527449921254711/3036108535167687186689)
(38581695555082/4853089476046161,21535986157888203044/338086202776927409397159)
(38581695555082/4853089476046161,-338107738763085297600203/338086202776927409397159)
(112336114570262877/7099336433764,-37652423056467875392754681/18915883755633959912)
(112336114570262877/7099336433764,37652404140584119758794769/18915883755633959912)
(-20672037869235082/2600282294202480889,262883121764561512399492/4193056826234404749073084787)
(-20672037869235082/2600282294202480889,-4193319709356169310585484279/4193056826234404749073084787)
(63734020523767895773980/32762274577834729768201,-22984081517683542981673948618832400/5930087051247884911766587129132699)
(63734020523767895773980/32762274577834729768201,17053994466435658069907361489699701/5930087051247884911766587129132699)
(-2251247528715575677121711/2962461672130735982595600,-5728189780743455129766048960597244513/5098930710043708239050543108935896000)
(-2251247528715575677121711/2962461672130735982595600,629259070699746890715505851661348513/5098930710043708239050543108935896000)
#
# a-invariants: (0, 1, 0, 3, -1)
# Cremona label: 44a1
#
(1,-2)
(1,2)
#
# a-invariants: (0, 1, 0, -77, -289)
# Cremona label: 44a2
#
#
# a-invariants: (1, -1, 0, 0, -5)
# Cremona label: 45a1
#
(2,-1)
#
# a-invariants: (1, -1, 0, -45, -104)
# Cremona label: 45a2
#
(8,-4)
(-4,2)
(-13/4,13/8)
#
# a-invariants: (1, -1, 0, -720, -7259)
# Cremona label: 45a3
#
(-61/4,61/8)
#
# a-invariants: (1, -1, 0, -90, 175)
# Cremona label: 45a4
#
(2,-1)
(35/4,-35/8)
(-10,5)
#
