"r","f(r)","w(r)","a","f(a)","w(a)","b","f(b)","w(b)","c","f(c)","w(c)"
4942470,"2*3*5*13*19*23*29",7,87,"3^1*29^1",2,23465,"5^1*13^1*19^2",3,23552,"2^10*23^1",2
4942470,"2*3*5*13*19*23*29",7,92,"2^2*23^1",2,285,"3^1*5^1*19^1",3,377,"13^1*29^1",2
4942470,"2*3*5*13*19*23*29",7,171,"3^2*19^1",2,24334,"2^1*23^3",2,24505,"5^1*13^2*29^1",3
4942470,"2*3*5*13*19*23*29",7,174,"2^1*3^1*29^1",3,60835,"5^1*23^3",2,61009,"13^2*19^2",2
4942470,"2*3*5*13*19*23*29",7,184,"2^3*23^1",2,15795,"3^5*5^1*13^1",3,15979,"19^1*29^2",2
4942470,"2*3*5*13*19*23*29",7,195,"3^1*5^1*13^1",3,2475904,"2^7*23^1*29^2",3,2476099,"19^5",1
4942470,"2*3*5*13*19*23*29",7,207,"3^2*23^1",2,54665,"5^1*13^1*29^2",3,54872,"2^3*19^3",2
4942470,"2*3*5*13*19*23*29",7,247,"13^1*19^1",2,1058,"2^1*23^2",2,1305,"3^2*5^1*29^1",3
4942470,"2*3*5*13*19*23*29",7,247,"13^1*19^1",2,6003,"3^2*23^1*29^1",3,6250,"2^1*5^5",2
4942470,"2*3*5*13*19*23*29",7,256,"2^8",1,130065,"3^1*5^1*13^1*23^1*29^1",5,130321,"19^4",1
4942470,"2*3*5*13*19*23*29",7,299,"13^1*23^1",2,841,"29^2",1,1140,"2^2*3^1*5^1*19^1",4
4942470,"2*3*5*13*19*23*29",7,299,"13^1*23^1",2,7125,"3^1*5^3*19^1",3,7424,"2^8*29^1",2
4942470,"2*3*5*13*19*23*29",7,325,"5^2*13^1",2,342,"2^1*3^2*19^1",3,667,"23^1*29^1",2
4942470,"2*3*5*13*19*23*29",7,338,"2^1*13^2",2,2185,"5^1*19^1*23^1",3,2523,"3^1*29^2",2
4942470,"2*3*5*13*19*23*29",7,345,"3^1*5^1*23^1",3,377,"13^1*29^1",2,722,"2^1*19^2",2
4942470,"2*3*5*13*19*23*29",7,414,"2^1*3^2*23^1",3,3211,"13^2*19^1",2,3625,"5^3*29^1",2
4942470,"2*3*5*13*19*23*29",7,513,"3^3*19^1",2,2627612,"2^2*13^4*23^1",3,2628125,"5^5*29^2",2
4942470,"2*3*5*13*19*23*29",7,520,"2^3*5^1*13^1",3,24389,"29^3",1,24909,"3^1*19^2*23^1",3
4942470,"2*3*5*13*19*23*29",7,621,"3^3*23^1",2,1235,"5^1*13^1*19^1",3,1856,"2^6*29^1",2
4942470,"2*3*5*13*19*23*29",7,667,"23^1*29^1",2,2375,"5^3*19^1",2,3042,"2^1*3^2*13^2",3
4942470,"2*3*5*13*19*23*29",7,845,"5^1*13^2",2,54027,"3^4*23^1*29^1",3,54872,"2^3*19^3",2
4942470,"2*3*5*13*19*23*29",7,1053,"3^4*13^1",2,7250,"2^1*5^3*29^1",3,8303,"19^2*23^1",2
4942470,"2*3*5*13*19*23*29",7,1682,"2^1*29^2",2,185193,"3^3*19^3",2,186875,"5^4*13^1*23^1",3
4942470,"2*3*5*13*19*23*29",7,1805,"5^1*19^2",2,2197,"13^3",1,4002,"2^1*3^1*23^1*29^1",4
4942470,"2*3*5*13*19*23*29",7,1885,"5^1*13^1*29^1",3,2048,"2^11",1,3933,"3^2*19^1*23^1",3
4942470,"2*3*5*13*19*23*29",7,2025,"3^4*5^2",2,2668,"2^2*23^1*29^1",3,4693,"13^1*19^2",2
4942470,"2*3*5*13*19*23*29",7,2185,"5^1*19^1*23^1",3,8748,"2^2*3^7",2,10933,"13^1*29^2",2
4942470,"2*3*5*13*19*23*29",7,3211,"13^2*19^1",2,24389,"29^3",1,27600,"2^4*3^1*5^2*23^1",4
4942470,"2*3*5*13*19*23*29",7,3456,"2^7*3^3",2,15979,"19^1*29^2",2,19435,"5^1*13^2*23^1",3
4942470,"2*3*5*13*19*23*29",7,4225,"5^2*13^2",2,8303,"19^2*23^1",2,12528,"2^4*3^3*29^1",3
4942470,"2*3*5*13*19*23*29",7,4225,"5^2*13^2",2,198911,"19^3*29^1",2,203136,"2^7*3^1*23^2",3
4942470,"2*3*5*13*19*23*29",7,4693,"13^1*19^2",2,232875,"3^4*5^3*23^1",3,237568,"2^13*29^1",2
4942470,"2*3*5*13*19*23*29",7,6400,"2^8*5^2",2,8303,"19^2*23^1",2,14703,"3^1*13^2*29^1",3
4942470,"2*3*5*13*19*23*29",7,6859,"19^3",1,89856,"2^8*3^3*13^1",3,96715,"5^1*23^1*29^2",3
4942470,"2*3*5*13*19*23*29",7,6877,"13^1*23^2",2,8000,"2^6*5^3",2,14877,"3^3*19^1*29^1",3
4942470,"2*3*5*13*19*23*29",7,15341,"23^2*29^1",2,18954,"2^1*3^6*13^1",3,34295,"5^1*19^3",2
4942470,"2*3*5*13*19*23*29",7,19343,"23^1*29^2",2,123462,"2^1*3^2*19^3",3,142805,"5^1*13^4",2
4942470,"2*3*5*13*19*23*29",7,23104,"2^6*19^2",2,119025,"3^2*5^2*23^2",3,142129,"13^2*29^2",2
4942470,"2*3*5*13*19*23*29",7,25000,"2^3*5^5",2,87723,"3^5*19^2",2,112723,"13^2*23^1*29^1",3
4942470,"2*3*5*13*19*23*29",7,35152,"2^4*13^3",2,41553,"3^7*19^1",2,76705,"5^1*23^2*29^1",3
4942470,"2*3*5*13*19*23*29",7,35152,"2^4*13^3",2,6436343,"23^5",1,6471495,"3^4*5^1*19^1*29^2",4
4942470,"2*3*5*13*19*23*29",7,50625,"3^4*5^4",2,229216,"2^5*13^1*19^1*29^1",4,279841,"23^4",1
4942470,"2*3*5*13*19*23*29",7,985527,"3^4*23^3",2,5640625,"5^6*19^2",2,6626152,"2^3*13^4*29^1",3
5114382,"2*3*7*13*17*19*29",7,1,"",0,2261,"7^1*17^1*19^1",3,2262,"2^1*3^1*13^1*29^1",4
5114382,"2*3*7*13*17*19*29",7,13,"13^1",1,1653,"3^1*19^1*29^1",3,1666,"2^1*7^2*17^1",3
5114382,"2*3*7*13*17*19*29",7,17,"17^1",1,31941,"3^3*7^1*13^2",3,31958,"2^1*19^1*29^2",3
5114382,"2*3*7*13*17*19*29",7,19,"19^1",1,1547,"7^1*13^1*17^1",3,1566,"2^1*3^3*29^1",3
5114382,"2*3*7*13*17*19*29",7,19,"19^1",1,19208,"2^3*7^4",2,19227,"3^1*13^1*17^1*29^1",4
5114382,"2*3*7*13*17*19*29",7,19,"19^1",1,1318688,"2^5*7^2*29^2",3,1318707,"3^3*13^2*17^2",3
5114382,"2*3*7*13*17*19*29",7,38,"2^1*19^1",2,2601,"3^2*17^2",2,2639,"7^1*13^1*29^1",3
5114382,"2*3*7*13*17*19*29",7,39,"3^1*13^1",2,493,"17^1*29^1",2,532,"2^2*7^1*19^1",3
5114382,"2*3*7*13*17*19*29",7,51,"3^1*17^1",2,4408,"2^3*19^1*29^1",3,4459,"7^3*13^1",2
5114382,"2*3*7*13*17*19*29",7,64,"2^6",1,4199,"13^1*17^1*19^1",3,4263,"3^1*7^2*29^1",3
5114382,"2*3*7*13*17*19*29",7,108,"2^2*3^3",2,6409,"13^1*17^1*29^1",3,6517,"7^3*19^1",2
5114382,"2*3*7*13*17*19*29",7,112,"2^4*7^1",2,551,"19^1*29^1",2,663,"3^1*13^1*17^1",3
5114382,"2*3*7*13*17*19*29",7,133,"7^1*19^1",2,1856,"2^6*29^1",2,1989,"3^2*13^1*17^1",3
5114382,"2*3*7*13*17*19*29",7,153,"3^2*17^1",2,4901,"13^2*29^1",2,5054,"2^1*7^1*19^2",3
5114382,"2*3*7*13*17*19*29",7,203,"7^1*29^1",2,2704,"2^4*13^2",2,2907,"3^2*17^1*19^1",3
5114382,"2*3*7*13*17*19*29",7,203,"7^1*29^1",2,4693,"13^1*19^2",2,4896,"2^5*3^2*17^1",3
5114382,"2*3*7*13*17*19*29",7,221,"13^1*17^1",2,1102,"2^1*19^1*29^1",3,1323,"3^3*7^2",2
5114382,"2*3*7*13*17*19*29",7,221,"13^1*17^1",2,2128,"2^4*7^1*19^1",3,2349,"3^4*29^1",2
5114382,"2*3*7*13*17*19*29",7,243,"3^5",1,1729,"7^1*13^1*19^1",3,1972,"2^2*17^1*29^1",3
5114382,"2*3*7*13*17*19*29",7,247,"13^1*19^1",2,1377,"3^4*17^1",2,1624,"2^3*7^1*29^1",3
5114382,"2*3*7*13*17*19*29",7,361,"19^2",1,6048,"2^5*3^3*7^1",3,6409,"13^1*17^1*29^1",3
5114382,"2*3*7*13*17*19*29",7,377,"13^1*29^1",2,456,"2^3*3^1*19^1",3,833,"7^2*17^1",2
5114382,"2*3*7*13*17*19*29",7,399,"3^1*7^1*19^1",3,442,"2^1*13^1*17^1",3,841,"29^2",1
5114382,"2*3*7*13*17*19*29",7,464,"2^4*29^1",2,1083,"3^1*19^2",2,1547,"7^1*13^1*17^1",3
5114382,"2*3*7*13*17*19*29",7,551,"19^1*29^1",2,1183,"7^1*13^2",2,1734,"2^1*3^1*17^2",3
5114382,"2*3*7*13*17*19*29",7,551,"19^1*29^1",2,48841,"13^2*17^2",2,49392,"2^4*3^2*7^3",3
5114382,"2*3*7*13*17*19*29",7,931,"7^2*19^1",2,9248,"2^5*17^2",2,10179,"3^3*13^1*29^1",3
5114382,"2*3*7*13*17*19*29",7,1029,"3^1*7^3",2,184832,"2^9*19^2",2,185861,"13^1*17^1*29^2",3
5114382,"2*3*7*13*17*19*29",7,1053,"3^4*13^1",2,23104,"2^6*19^2",2,24157,"7^2*17^1*29^1",3
5114382,"2*3*7*13*17*19*29",7,1083,"3^1*19^2",2,8381,"17^2*29^1",2,9464,"2^3*7^1*13^2",3
5114382,"2*3*7*13*17*19*29",7,1792,"2^8*7^1",2,4617,"3^5*19^1",2,6409,"13^1*17^1*29^1",3
5114382,"2*3*7*13*17*19*29",7,1972,"2^2*17^1*29^1",3,29241,"3^4*19^2",2,31213,"7^4*13^1",2
5114382,"2*3*7*13*17*19*29",7,2744,"2^3*7^3",2,3393,"3^2*13^1*29^1",3,6137,"17^1*19^2",2
5114382,"2*3*7*13*17*19*29",7,3211,"13^2*19^1",2,165888,"2^11*3^4",2,169099,"7^3*17^1*29^1",3
5114382,"2*3*7*13*17*19*29",7,4864,"2^8*19^1",2,6069,"3^1*7^1*17^2",3,10933,"13^1*29^2",2
5114382,"2*3*7*13*17*19*29",7,9747,"3^3*19^2",2,37349,"13^3*17^1",2,47096,"2^3*7^1*29^2",3
5114382,"2*3*7*13*17*19*29",7,17661,"3^1*7^1*29^2",3,46208,"2^7*19^2",2,63869,"13^1*17^3",2
5114382,"2*3*7*13*17*19*29",7,28561,"13^4",1,91238,"2^1*7^4*19^1",3,119799,"3^5*17^1*29^1",3
5114382,"2*3*7*13*17*19*29",7,35721,"3^6*7^2",2,1658452,"2^2*17^1*29^3",3,1694173,"13^1*19^4",2
5114382,"2*3*7*13*17*19*29",7,49152,"2^14*3^1",2,243049,"17^2*29^2",2,292201,"7^1*13^3*19^1",3
5114382,"2*3*7*13*17*19*29",7,76531,"7^1*13^1*29^2",3,314432,"2^6*17^3",2,390963,"3^1*19^4",2
5114382,"2*3*7*13*17*19*29",7,139264,"2^13*17^1",2,1390173,"3^1*19^1*29^3",3,1529437,"7^6*13^1",2
5238618,"2*3*7*11*17*23*29",7,7,"7^1",1,7337,"11^1*23^1*29^1",3,7344,"2^4*3^3*17^1",3
5238618,"2*3*7*11*17*23*29",7,22,"2^1*11^1",2,2001,"3^1*23^1*29^1",3,2023,"7^1*17^2",2
5238618,"2*3*7*11*17*23*29",7,51,"3^1*17^1",2,616,"2^3*7^1*11^1",3,667,"23^1*29^1",2
5238618,"2*3*7*11*17*23*29",7,56,"2^3*7^1",2,2001,"3^1*23^1*29^1",3,2057,"11^2*17^1",2
5238618,"2*3*7*11*17*23*29",7,69,"3^1*23^1",2,3179,"11^1*17^2",2,3248,"2^4*7^1*29^1",3
5238618,"2*3*7*11*17*23*29",7,116,"2^2*29^1",2,14283,"3^3*23^2",2,14399,"7^1*11^2*17^1",3
5238618,"2*3*7*11*17*23*29",7,153,"3^2*17^1",2,253,"11^1*23^1",2,406,"2^1*7^1*29^1",3
5238618,"2*3*7*11*17*23*29",7,161,"7^1*23^1",2,187,"11^1*17^1",2,348,"2^2*3^1*29^1",3
5238618,"2*3*7*11*17*23*29",7,184,"2^3*23^1",2,3267,"3^3*11^2",2,3451,"7^1*17^1*29^1",3
5238618,"2*3*7*11*17*23*29",7,203,"7^1*29^1",2,391,"17^1*23^1",2,594,"2^1*3^3*11^1",3
5238618,"2*3*7*11*17*23*29",7,253,"11^1*23^1",2,17408,"2^10*17^1",2,17661,"3^1*7^1*29^2",3
5238618,"2*3*7*11*17*23*29",7,352,"2^5*11^1",2,1127,"7^2*23^1",2,1479,"3^1*17^1*29^1",3
5238618,"2*3*7*11*17*23*29",7,363,"3^1*11^2",2,10976,"2^5*7^3",2,11339,"17^1*23^1*29^1",3
5238618,"2*3*7*11*17*23*29",7,368,"2^4*23^1",2,2233,"7^1*11^1*29^1",3,2601,"3^2*17^2",2
5238618,"2*3*7*11*17*23*29",7,391,"17^1*23^1",2,638,"2^1*11^1*29^1",3,1029,"3^1*7^3",2
5238618,"2*3*7*11*17*23*29",7,391,"17^1*23^1",2,3872,"2^5*11^2",2,4263,"3^1*7^2*29^1",3
5238618,"2*3*7*11*17*23*29",7,578,"2^1*17^2",2,1771,"7^1*11^1*23^1",3,2349,"3^4*29^1",2
5238618,"2*3*7*11*17*23*29",7,621,"3^3*23^1",2,4802,"2^1*7^4",2,5423,"11^1*17^1*29^1",3
5238618,"2*3*7*11*17*23*29",7,841,"29^2",1,2057,"11^2*17^1",2,2898,"2^1*3^2*7^1*23^1",4
5238618,"2*3*7*11*17*23*29",7,1012,"2^2*11^1*23^1",3,14297,"17^1*29^2",2,15309,"3^7*7^1",2
5238618,"2*3*7*11*17*23*29",7,1331,"11^3",1,2001,"3^1*23^1*29^1",3,3332,"2^2*7^2*17^1",3
5238618,"2*3*7*11*17*23*29",7,2116,"2^2*23^2",2,7047,"3^5*29^1",2,9163,"7^2*11^1*17^1",3
5238618,"2*3*7*11*17*23*29",7,2401,"7^4",1,14297,"17^1*29^2",2,16698,"2^1*3^1*11^2*23^1",4
5238618,"2*3*7*11*17*23*29",7,2523,"3^1*29^2",2,11638,"2^1*11^1*23^2",3,14161,"7^2*17^2",2
5238618,"2*3*7*11*17*23*29",7,2673,"3^5*11^1",2,25921,"7^2*23^2",2,28594,"2^1*17^1*29^2",3
5238618,"2*3*7*11*17*23*29",7,3944,"2^3*17^1*29^1",3,133837,"11^1*23^3",2,137781,"3^9*7^1",2
5238618,"2*3*7*11*17*23*29",7,3993,"3^1*11^3",2,10304,"2^6*7^1*23^1",3,14297,"17^1*29^2",2
5238618,"2*3*7*11*17*23*29",7,4232,"2^3*23^2",2,41209,"7^2*29^2",2,45441,"3^5*11^1*17^1",3
5238618,"2*3*7*11*17*23*29",7,5184,"2^6*3^4",2,14297,"17^1*29^2",2,19481,"7^1*11^2*23^1",3
5238618,"2*3*7*11*17*23*29",7,6912,"2^8*3^3",2,15341,"23^2*29^1",2,22253,"7^1*11^1*17^2",3
5238618,"2*3*7*11*17*23*29",7,83521,"17^4",1,151263,"3^2*7^5",2,234784,"2^5*11^1*23^1*29^1",4
5238618,"2*3*7*11*17*23*29",7,142477,"17^3*29^1",2,340676,"2^2*7^1*23^3",3,483153,"3^1*11^5",2
5515510,"2*5*7*11*13*19*29",7,13,"13^1",1,1450,"2^1*5^2*29^1",3,1463,"7^1*11^1*19^1",3
5515510,"2*5*7*11*13*19*29",7,49,"7^2",1,75400,"2^3*5^2*13^1*29^1",4,75449,"11^1*19^3",2
5515510,"2*5*7*11*13*19*29",7,65,"5^1*13^1",2,551,"19^1*29^1",2,616,"2^3*7^1*11^1",3
5515510,"2*5*7*11*13*19*29",7,125,"5^3",1,2717,"11^1*13^1*19^1",3,2842,"2^1*7^2*29^1",3
5515510,"2*5*7*11*13*19*29",7,133,"7^1*19^1",2,1375,"5^3*11^1",2,1508,"2^2*13^1*29^1",3
5515510,"2*5*7*11*13*19*29",7,143,"11^1*13^1",2,3857,"7^1*19^1*29^1",3,4000,"2^5*5^3",2
5515510,"2*5*7*11*13*19*29",7,175,"5^2*7^1",2,319,"11^1*29^1",2,494,"2^1*13^1*19^1",3
5515510,"2*5*7*11*13*19*29",7,377,"13^1*29^1",2,46208,"2^7*19^2",2,46585,"5^1*7^1*11^3",3
5515510,"2*5*7*11*13*19*29",7,608,"2^5*19^1",2,1625,"5^3*13^1",2,2233,"7^1*11^1*29^1",3
5515510,"2*5*7*11*13*19*29",7,625,"5^4",1,3172468,"2^2*13^3*19^2",3,3173093,"7^3*11^1*29^2",3
5515510,"2*5*7*11*13*19*29",7,637,"7^2*13^1",2,1045,"5^1*11^1*19^1",3,1682,"2^1*29^2",2
5515510,"2*5*7*11*13*19*29",7,784,"2^4*7^2",2,24505,"5^1*13^2*29^1",3,25289,"11^3*19^1",2
5515510,"2*5*7*11*13*19*29",7,832,"2^6*13^1",2,3025,"5^2*11^2",2,3857,"7^1*19^1*29^1",3
5515510,"2*5*7*11*13*19*29",7,841,"29^2",1,90250,"2^1*5^3*19^2",3,91091,"7^2*11^1*13^2",3
5515510,"2*5*7*11*13*19*29",7,896,"2^7*7^1",2,1859,"11^1*13^2",2,2755,"5^1*19^1*29^1",3
5515510,"2*5*7*11*13*19*29",7,931,"7^2*19^1",2,1885,"5^1*13^1*29^1",3,2816,"2^8*11^1",2
5515510,"2*5*7*11*13*19*29",7,931,"7^2*19^1",2,8320,"2^7*5^1*13^1",3,9251,"11^1*29^2",2
5515510,"2*5*7*11*13*19*29",7,950,"2^1*5^2*19^1",3,3509,"11^2*29^1",2,4459,"7^3*13^1",2
5515510,"2*5*7*11*13*19*29",7,988,"2^2*13^1*19^1",3,5887,"7^1*29^2",2,6875,"5^4*11^1",2
5515510,"2*5*7*11*13*19*29",7,1183,"7^1*13^2",2,9025,"5^2*19^2",2,10208,"2^5*11^1*29^1",3
5515510,"2*5*7*11*13*19*29",7,1421,"7^2*29^1",2,53504,"2^8*11^1*19^1",3,54925,"5^2*13^3",2
5515510,"2*5*7*11*13*19*29",7,1715,"5^1*7^3",2,2432,"2^7*19^1",2,4147,"11^1*13^1*29^1",3
5515510,"2*5*7*11*13*19*29",7,3211,"13^2*19^1",2,23200,"2^5*5^2*29^1",3,26411,"7^4*11^1",2
5515510,"2*5*7*11*13*19*29",7,3625,"5^3*29^1",2,28561,"13^4",1,32186,"2^1*7^1*11^2*19^1",4
5515510,"2*5*7*11*13*19*29",7,463391,"19^1*29^3",2,1015625,"5^7*13^1",2,1479016,"2^3*7^5*11^1",3
5720330,"2*5*7*11*17*19*23",7,5,"5^1",1,305762,"2^1*17^2*23^2",3,305767,"7^1*11^2*19^2",3
5720330,"2*5*7*11*17*19*23",7,19,"19^1",1,10285,"5^1*11^2*17^1",3,10304,"2^6*7^1*23^1",3
5720330,"2*5*7*11*17*19*23",7,23,"23^1",1,6137,"17^1*19^2",2,6160,"2^4*5^1*7^1*11^1",4
5720330,"2*5*7*11*17*19*23",7,34,"2^1*17^1",2,1771,"7^1*11^1*23^1",3,1805,"5^1*19^2",2
5720330,"2*5*7*11*17*19*23",7,34,"2^1*17^1",2,3025,"5^2*11^2",2,3059,"7^1*19^1*23^1",3
5720330,"2*5*7*11*17*19*23",7,70,"2^1*5^1*7^1",3,253,"11^1*23^1",2,323,"17^1*19^1",2
5720330,"2*5*7*11*17*19*23",7,121,"11^2",1,4173160,"2^3*5^1*17^2*19^2",4,4173281,"7^3*23^3",2
5720330,"2*5*7*11*17*19*23",7,161,"7^1*23^1",2,43520,"2^9*5^1*17^1",3,43681,"11^2*19^2",2
5720330,"2*5*7*11*17*19*23",7,275,"5^2*11^1",2,1748,"2^2*19^1*23^1",3,2023,"7^1*17^2",2
5720330,"2*5*7*11*17*19*23",7,361,"19^2",1,1564,"2^2*17^1*23^1",3,1925,"5^2*7^1*11^1",3
5720330,"2*5*7*11*17*19*23",7,418,"2^1*11^1*19^1",3,8575,"5^2*7^3",2,8993,"17^1*23^2",2
5720330,"2*5*7*11*17*19*23",7,425,"5^2*17^1",2,506,"2^1*11^1*23^1",3,931,"7^2*19^1",2
5720330,"2*5*7*11*17*19*23",7,437,"19^1*23^1",2,935,"5^1*11^1*17^1",3,1372,"2^2*7^3",2
5720330,"2*5*7*11*17*19*23",7,529,"23^2",1,7546,"2^1*7^3*11^1",3,8075,"5^2*17^1*19^1",3
5720330,"2*5*7*11*17*19*23",7,760,"2^3*5^1*19^1",3,2023,"7^1*17^2",2,2783,"11^2*23^1",2
5720330,"2*5*7*11*17*19*23",7,847,"7^1*11^2",2,5290,"2^1*5^1*23^2",3,6137,"17^1*19^2",2
5720330,"2*5*7*11*17*19*23",7,1078,"2^1*7^2*11^1",3,7225,"5^2*17^2",2,8303,"19^2*23^1",2
5720330,"2*5*7*11*17*19*23",7,1444,"2^2*19^2",2,1683715,"5^1*11^4*23^1",3,1685159,"7^3*17^3",2
5720330,"2*5*7*11*17*19*23",7,1900,"2^2*5^2*19^1",3,2401,"7^4",1,4301,"11^1*17^1*23^1",3
5720330,"2*5*7*11*17*19*23",7,13984,"2^5*19^1*23^1",3,64141,"7^3*11^1*17^1",3,78125,"5^7",1
5720330,"2*5*7*11*17*19*23",7,14641,"11^4",1,171475,"5^2*19^3",2,186116,"2^2*7^1*17^2*23^1",4
5720330,"2*5*7*11*17*19*23",7,33856,"2^6*23^2",2,45619,"7^4*19^1",2,79475,"5^2*11^1*17^2",3
5720330,"2*5*7*11*17*19*23",7,272000,"2^7*5^3*17^1",3,46773881,"7^5*11^2*23^1",3,47045881,"19^6",1
5854926,"2*3*7*11*19*23*29",7,11,"11^1",1,48013,"7^1*19^3",2,48024,"2^3*3^2*23^1*29^1",4
5854926,"2*3*7*11*19*23*29",7,29,"29^1",1,21384,"2^3*3^5*11^1",3,21413,"7^2*19^1*23^1",3
5854926,"2*3*7*11*19*23*29",7,29,"29^1",1,247779,"3^4*7^1*19^1*23^1",4,247808,"2^11*11^2",2
5854926,"2*3*7*11*19*23*29",7,29,"29^1",1,278179,"11^4*19^1",2,278208,"2^6*3^3*7^1*23^1",4
5854926,"2*3*7*11*19*23*29",7,56,"2^3*7^1",2,133837,"11^1*23^3",2,133893,"3^5*19^1*29^1",3
5854926,"2*3*7*11*19*23*29",7,154,"2^1*7^1*11^1",3,513,"3^3*19^1",2,667,"23^1*29^1",2
5854926,"2*3*7*11*19*23*29",7,161,"7^1*23^1",2,20416,"2^6*11^1*29^1",3,20577,"3^1*19^3",2
5854926,"2*3*7*11*19*23*29",7,203,"7^1*29^1",2,253,"11^1*23^1",2,456,"2^3*3^1*19^1",3
5854926,"2*3*7*11*19*23*29",7,203,"7^1*29^1",2,418,"2^1*11^1*19^1",3,621,"3^3*23^1",2
5854926,"2*3*7*11*19*23*29",7,209,"11^1*19^1",2,1792,"2^8*7^1",2,2001,"3^1*23^1*29^1",3
5854926,"2*3*7*11*19*23*29",7,209,"11^1*19^1",2,181447,"7^3*23^2",2,181656,"2^3*3^3*29^2",3
5854926,"2*3*7*11*19*23*29",7,232,"2^3*29^1",2,1539,"3^4*19^1",2,1771,"7^1*11^1*23^1",3
5854926,"2*3*7*11*19*23*29",7,232,"2^3*29^1",2,17457,"3^1*11^1*23^2",3,17689,"7^2*19^2",2
5854926,"2*3*7*11*19*23*29",7,243,"3^5",1,30613,"11^3*23^1",2,30856,"2^3*7^1*19^1*29^1",4
5854926,"2*3*7*11*19*23*29",7,253,"11^1*23^1",2,6264,"2^3*3^3*29^1",3,6517,"7^3*19^1",2
5854926,"2*3*7*11*19*23*29",7,264,"2^3*3^1*11^1",3,667,"23^1*29^1",2,931,"7^2*19^1",2
5854926,"2*3*7*11*19*23*29",7,319,"11^1*29^1",2,437,"19^1*23^1",2,756,"2^2*3^3*7^1",3
5854926,"2*3*7*11*19*23*29",7,319,"11^1*29^1",2,2208,"2^5*3^1*23^1",3,2527,"7^1*19^2",2
5854926,"2*3*7*11*19*23*29",7,319,"11^1*29^1",2,7889,"7^3*23^1",2,8208,"2^4*3^3*19^1",3
5854926,"2*3*7*11*19*23*29",7,322,"2^1*7^1*23^1",3,1331,"11^3",1,1653,"3^1*19^1*29^1",3
5854926,"2*3*7*11*19*23*29",7,343,"7^3",1,759,"3^1*11^1*23^1",3,1102,"2^1*19^1*29^1",3
5854926,"2*3*7*11*19*23*29",7,464,"2^4*29^1",2,847,"7^1*11^2",2,1311,"3^1*19^1*23^1",3
5854926,"2*3*7*11*19*23*29",7,529,"23^2",1,193952,"2^5*11^1*19^1*29^1",4,194481,"3^4*7^4",2
5854926,"2*3*7*11*19*23*29",7,1748,"2^2*19^1*23^1",3,7569,"3^2*29^2",2,9317,"7^1*11^3",2
5854926,"2*3*7*11*19*23*29",7,2842,"2^1*7^2*29^1",3,11799,"3^3*19^1*23^1",3,14641,"11^4",1
5854926,"2*3*7*11*19*23*29",7,3344,"2^4*11^1*19^1",3,3703,"7^1*23^2",2,7047,"3^5*29^1",2
5854926,"2*3*7*11*19*23*29",7,4232,"2^3*23^2",2,6237,"3^4*7^1*11^1",3,10469,"19^2*29^1",2
5854926,"2*3*7*11*19*23*29",7,4807,"11^1*19^1*23^1",3,6561,"3^8",1,11368,"2^3*7^2*29^1",3
5854926,"2*3*7*11*19*23*29",7,10143,"3^2*7^2*23^1",3,43681,"11^2*19^2",2,53824,"2^6*29^2",2
5854926,"2*3*7*11*19*23*29",7,26999,"7^2*19^1*29^1",3,123904,"2^10*11^2",2,150903,"3^8*23^1",2
5854926,"2*3*7*11*19*23*29",7,157757,"19^3*23^1",2,296032,"2^5*11^1*29^2",3,453789,"3^3*7^5",2
5854926,"2*3*7*11*19*23*29",7,184832,"2^9*19^2",2,1010229,"3^1*11^4*23^1",3,1195061,"7^2*29^3",2
5854926,"2*3*7*11*19*23*29",7,319333,"7^5*19^1",2,2238728,"2^3*23^4",2,2558061,"3^6*11^2*29^1",3
5854926,"2*3*7*11*19*23*29",7,521284,"2^2*19^4",2,1948617,"3^11*11^1",2,2469901,"7^1*23^3*29^1",3
6191094,"2*3*7*13*17*23*29",7,1,"",0,10556,"2^2*7^1*13^1*29^1",4,10557,"3^3*17^1*23^1",3
6191094,"2*3*7*13*17*23*29",7,1,"",0,184092,"2^2*3^1*23^2*29^1",4,184093,"7^2*13^1*17^2",3
6191094,"2*3*7*13*17*23*29",7,3,"3^1",1,37349,"13^3*17^1",2,37352,"2^3*7^1*23^1*29^1",4
6191094,"2*3*7*13*17*23*29",7,9,"3^2",1,8372,"2^2*7^1*13^1*23^1",4,8381,"17^2*29^1",2
6191094,"2*3*7*13*17*23*29",7,23,"23^1",1,1456,"2^4*7^1*13^1",3,1479,"3^1*17^1*29^1",3
6191094,"2*3*7*13*17*23*29",7,23,"23^1",1,127426,"2^1*13^3*29^1",3,127449,"3^2*7^2*17^2",3
6191094,"2*3*7*13*17*23*29",7,49,"7^2",1,147407,"13^1*17^1*23^1*29^1",4,147456,"2^14*3^2",2
6191094,"2*3*7*13*17*23*29",7,58,"2^1*29^1",2,299,"13^1*23^1",2,357,"3^1*7^1*17^1",3
6191094,"2*3*7*13*17*23*29",7,153,"3^2*17^1",2,707281,"29^4",1,707434,"2^1*7^1*13^3*23^1",4
6191094,"2*3*7*13*17*23*29",7,169,"13^2",1,2499,"3^1*7^2*17^1",3,2668,"2^2*23^1*29^1",3
6191094,"2*3*7*13*17*23*29",7,377,"13^1*29^1",2,4131,"3^5*17^1",2,4508,"2^2*7^2*23^1",3
