# List of all rational elliptic curves with good reduction outside S, up to Q-isomorphisms,
# for all sets S = {2, p},
# where p ranges over all other primes less or equal to 250.
# It contains 9416 pairs (c4,c6), some of which may appear for more than one S.
# Format: "(c4,c6)".
# Computing this list took 1490 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
#
# S = {2, 3}:
#
(160,1792)
(160,-1792)
(96,0)
(528,12096)
(112,-640)
(112,640)
(160,-1664)
(160,1664)
(1008,-31968)
(144,-864)
(144,864)
(1008,31968)
(352,6400)
(352,-6400)
(1552,61120)
(1552,-61120)
(144,0)
(297,4779)
(208,2240)
(208,-2240)
(3088,171584)
(3088,-171584)
(432,-8640)
(432,8640)
(192,0)
(1120,-37376)
(1120,37376)
(288,3456)
(1696,69760)
(1696,-69760)
(288,-3456)
(720,19008)
(720,-19008)
(448,8704)
(448,-8704)
(432,7776)
(432,-7776)
(832,23552)
(832,-23552)
(288,0)
(5913,-454653)
(18448,2505664)
(18448,-2505664)
(432,-5184)
(432,5184)
(2112,96768)
(640,14336)
(2112,-96768)
(640,-14336)
(384,0)
(448,-5120)
(448,5120)
(432,0)
(640,13312)
(640,-13312)
(4032,255744)
(1168,38080)
(576,-6912)
(1168,-38080)
(4032,-255744)
(576,6912)
(1008,29376)
(1008,-29376)
(6208,-488960)
(1408,-51200)
(6208,488960)
(1408,51200)
(576,0)
(864,-20736)
(31072,-5477120)
(864,20736)
(31072,5477120)
(1872,-79488)
(1872,79488)
(832,-17920)
(832,17920)
(12352,1372672)
(12352,-1372672)
(1728,69120)
(1728,-69120)
(4480,-299008)
(4480,299008)
(4617,-312741)
(1440,48384)
(1440,-48384)
(864,0)
(4752,326592)
(4752,-326592)
(1008,17280)
(1008,-17280)
(6784,558080)
(2880,-152064)
(2880,152064)
(1152,27648)
(6784,-558080)
(1152,-27648)
(1296,-36288)
(1296,36288)
(1440,-44928)
(1440,44928)
(1728,62208)
(1728,-62208)
(1152,0)
(1296,23328)
(9072,-863136)
(9072,863136)
(1296,-23328)
(7776,684288)
(1296,15552)
(13968,-1650240)
(1296,-15552)
(3168,172800)
(260496,-132954048)
(260496,132954048)
(3168,-172800)
(13968,1650240)
(7776,-684288)
(2592,-124416)
(2592,124416)
(1377,-26001)
(73792,20045312)
(73792,-20045312)
(1296,0)
(2673,-129033)
(1872,-60480)
(1872,60480)
(1728,41472)
(1728,-41472)
(8208,-741312)
(27792,4632768)
(27792,-4632768)
(3888,-233280)
(3888,233280)
(1728,0)
(10080,-1009152)
(10080,1009152)
(15264,1883520)
(6480,513216)
(15264,-1883520)
(2592,-93312)
(2592,93312)
(6480,-513216)
(4672,304640)
(4672,-304640)
(4032,235008)
(4032,-235008)
(3456,-165888)
(4752,-305856)
(124288,43816960)
(124288,-43816960)
(3456,165888)
(3888,209952)
(3888,-209952)
(7488,-635904)
(7488,635904)
(2592,0)
(53217,12275631)
(166032,-67652928)
(166032,67652928)
(3888,139968)
(3888,-139968)
(19008,-2612736)
(5760,-387072)
(3456,0)
(5760,387072)
(19008,2612736)
(4032,-138240)
(4032,138240)
(5184,290304)
(5184,-290304)
(5760,-359424)
(5760,359424)
(5184,186624)
(10512,-1028160)
(5184,-186624)
(36288,6905088)
(10512,1028160)
(36288,-6905088)
(1041984,1063632384)
(94608,29097792)
(55872,-13201920)
(10368,995328)
(5184,-124416)
(12672,1382400)
(12672,-1382400)
(55872,13201920)
(1041984,-1063632384)
(31104,-5474304)
(10368,-995328)
(5184,124416)
(31104,5474304)
(5184,0)
(279648,-147882240)
